"Date","Title","Price","No of Rating","Manufacturer","ASIN","Best_Seller_In","Sold By","Rating","International Ratings","Global Rating","Url"
"2022-12-24","Mellbree Tire Valve Extensions, 8.25 Inch Flexible Schrader Tire Valve Stem Extension with 90 Degree Schrader Tire Valve Stem Extension Adaptor Compatible for Harleys, RV, Bicycles, Motorcycles（2pcs）","","206 ratings","","B093F5LNZC","","","4.4 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","206 global ratings","https://www.amazon.sg/Mellbree-Extensions-Extension-Compatible-Motorcycles%EF%BC%882pcs%EF%BC%89/dp/B093F5LNZC/ref=zg_bs_automotive_sccl_47/356-6484440-7347308?psc=1"
"2022-12-24","Air Motorcycle Seat Cushion Pressure Relief Ride Seat Pad Large for Cruiser Touring Saddles, Shock Absorption, Water Inflatable (Black)","","1,252 ratings","Aquacapsule","B07XT9PR1Q","","","","There are 0 reviews and 0 ratings from Singapore","1,252 global ratings","https://www.amazon.sg/Motorcycle-Cushion-Pressure-Absorption-Inflatable/dp/B07XT9PR1Q/ref=zg_bs_automotive_sccl_48/356-6484440-7347308?psc=1"
"2022-12-24","Bosch IMC500 5-Piece Impact MultiConstruction Drill Bit Set","","1,821 ratings","BOSCH","B01NCNXKOM","in Drill Bits","","4.6 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","1,821 global ratings","https://www.amazon.sg/Bosch-IMC500-5-Piece-Impact-MultiConstruction/dp/B01NCNXKOM/ref=zg_bs_automotive_sccl_49/356-6484440-7347308?psc=1"
"2022-12-24","Sonax Car Care Products 314 300 Gloss Shampoo","","4,343 ratings","Sonax Car Care Products","B000S6AQOQ","","","4.4 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","4,344 global ratings","https://www.amazon.sg/Sonax-Car-Care-Products-Shampoo/dp/B000S6AQOQ/ref=zg_bs_automotive_sccl_50/356-6484440-7347308?psc=1"
"2022-12-24","Autoglym SRP001 Car Super Resin Polish, 1L","","12,028 ratings","Autoglym","B009LHHHZE","","","4.6 out of 5 stars","","12,028 global ratings","https://www.amazon.sg/Autoglym-SRP001-Super-Resin-Polish/dp/B009LHHHZE/ref=zg_bs_automotive_sccl_1/356-6484440-7347308?psc=1"
"2022-12-24","Mann Filter CUK 2450 Cabin Air Filter","S$41.68","1,797 ratings","","","in Motorcycle Air Filters","Amazon Japan","","There are 0 reviews and 0 ratings from Singapore","1,797 global ratings","https://www.amazon.sg/Mann-Filter-CUK-2450-Cabin/dp/B00692TZ54/ref=zg_bs_automotive_sccl_2/356-6484440-7347308?psc=1"
"2022-12-24","Genuine Toyota (90982-06059) Battery Terminal Assembly","S$15.79","62 ratings","","B00JPKTGGA","","Amazon Japan","4.7 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","62 global ratings","https://www.amazon.sg/Genuine-90982-06059-Battery-Terminal-Assembly/dp/B00JPKTGGA/ref=zg_bs_automotive_sccl_3/356-6484440-7347308?psc=1"
"2022-12-24","Jelly Belly Mojito Duo Vent Air Freshener","","","Jelly Belly","B08ZMZG75S","","","","","","https://www.amazon.sg/Jelly-Belly-Mojito-Vent-Freshener/dp/B08ZMZG75S/ref=zg_bs_automotive_sccl_4/356-6484440-7347308?psc=1"
"2022-12-24","Nikwax Visor Proof Spray-On Waterproofing","","685 ratings","Nikwax","B001GUMQI2","in Motorcycle Clothing","","4.3 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","685 global ratings","https://www.amazon.sg/Nikwax-Visor-Proof-Spray-On-Waterproofing/dp/B001GUMQI2/ref=zg_bs_automotive_sccl_5/356-6484440-7347308?psc=1"
"2022-12-24","PG Microfiber - Finishing","","","","B09QCDW4NL","in Automotive Cloths","","","","","https://www.amazon.sg/Perma-Glass-PG-Microfiber-Finishing/dp/B09QCDW4NL/ref=zg_bs_automotive_sccl_6/356-6484440-7347308?psc=1"
"2022-12-24","Key Cap Remover Tool | Keycap Puller For Mechanical Keyboard,Gaming Keycaps Remover, Remove Fixing Keyboard Tools For Keyboard Universal Tabe-sg","","","Generic","B0BLR8S7RW","in Car Towing Products & Winches","","","","","https://www.amazon.sg/Remover-Mechanical-Keyboard-Keycaps-Universal/dp/B0BLR8S7RW/ref=zg_bs_automotive_sccl_7/356-6484440-7347308?psc=1"
"2022-12-24","Packtalk EDGE 2ND HELMET KIT With Sound By JBL, Black","","9 ratings","","B0B495VC19","","","","There are 0 reviews and 1 rating from Singapore","9 global ratings","https://www.amazon.sg/Packtalk-EDGE-HELMET-Sound-Black/dp/B0B495VC19/ref=zg_bs_automotive_sccl_8/356-6484440-7347308?psc=1"
"2022-12-24","Glade Scented Gel, Ocean Escape, 180g","","10 ratings","","B00EPUWC4S","","","","","10 global ratings","https://www.amazon.sg/Glade-Scented-Ocean-Escape-180g/dp/B00EPUWC4S/ref=zg_bs_automotive_sccl_9/356-6484440-7347308?psc=1"
"2022-12-24","Sumikko Gurashi Coil Keychain Tonkatsu Shrimp Fly Tail","","","サンエックス(San-X)","","","","","","","https://www.amazon.sg/Sumikko-Gurashi-Keychain-Tonkatsu-Shrimp/dp/B07T89H4SX/ref=zg_bs_automotive_sccl_10/356-6484440-7347308?psc=1"
"2022-12-24","Enet obd2 Ethernet Rj45 E-sys Cable Tools I-COM E-SYS I-STA | Bootmod3 Bimmercode OBD2 f Series Connector","","179 ratings","AntiBreak","","","","4.6 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","179 global ratings","https://www.amazon.sg/Ethernet-Cable-Bootmod3-Bimmercode-Connector/dp/B07D8RHBNB/ref=zg_bs_automotive_sccl_11/356-6484440-7347308?psc=1"
"2022-12-24","ANanCrog Cleaning Gel for Car, Car Universal Detailing Automotive Dust Cleaner Auto Air Vent Interior Detail Removal Putty Cleaning Keyboard Cleaner for Car Vents, PC, Laptops, Cameras, Printers","","56,726 ratings","ANanCrog","B081T7N948","in Automotive Tire & Wheel Tools","","","There are 0 reviews and 0 ratings from Singapore","56,726 global ratings","https://www.amazon.sg/ANanCrog-Car-Universal-Detailing-Automotive/dp/B081T7N948/ref=zg_bs_automotive_sccl_12/356-6484440-7347308?psc=1"
"2022-12-24","VARSK 4-in-1 Car Vacuum Cleaner, Tire Inflator Portable Air Compressor with Digital Tire Pressure Gauge LCD Display and LED Light, 12V DC Air Compressor Pump, 15FT Cord, Bonus HEPA Filter and Nozzles","","6,911 ratings","VARSK","B0895L1N7G","","","","There are 0 reviews and 0 ratings from Singapore","6,911 global ratings","https://www.amazon.sg/VARSK-Inflator-Portable-Compressor-Pressure/dp/B0895L1N7G/ref=zg_bs_automotive_sccl_13/356-6484440-7347308?psc=1"
"2022-12-24","WARN 92093 Epic 3/4"" Steel Winch D-Ring Shackle with 7/8"" Pin: 9 Ton (18,000 lb) Capacity, Black","","1,706 ratings","","B00H4PFO64","","","","There are 0 reviews and 0 ratings from Singapore","1,706 global ratings","https://www.amazon.sg/WARN-92093-Steel-D-Ring-Shackle/dp/B00H4PFO64/ref=zg_bs_automotive_sccl_14/356-6484440-7347308?psc=1"
"2022-12-24","Philips H11 Vision Upgrade Headlight Bulb with up to 30% More Vision, 2 Pack,12362PRB2","","819 ratings","PHILIPS","B00P2D4C36","","","","","819 global ratings","https://www.amazon.sg/Philips-Vision-Upgrade-Headlight-12362PRB2/dp/B00P2D4C36/ref=zg_bs_automotive_sccl_15/356-6484440-7347308?psc=1"
"2022-12-24","Slime 50123 Flat Tire Repair Kit (Digital)","","1,002 ratings","","B0732F1YZX","in Automotive Tire Repair Tools & Kits","","4.4 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","1,002 global ratings","https://www.amazon.sg/Slime-50123-Flat-Repair-Digital/dp/B0732F1YZX/ref=zg_bs_automotive_sccl_16/356-6484440-7347308?psc=1"
"2022-12-24","DEWALT Drill Bit Set, Black and Gold, 14-Piece (DWA1184)","","7,149 ratings","DEWALT","B07DH55YRX","","","4.7 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","7,149 global ratings","https://www.amazon.sg/DEWALT-Drill-Black-14-Piece-DWA1184/dp/B07DH55YRX/ref=zg_bs_automotive_sccl_17/356-6484440-7347308?psc=1"
"2022-12-24","Klein Tools VDV526-200 Cable Tester, LAN Scout Jr. 2 Ethernet Cable Tester for CAT 5e, CAT 6/6A Cables with RJ45 Connections","","578 ratings","Klein Tools","","","","","There are 0 reviews and 0 ratings from Singapore","578 global ratings","https://www.amazon.sg/Klein-Tools-VDV526-200-Ethernet-Connections/dp/B0925826M2/ref=zg_bs_automotive_sccl_18/356-6484440-7347308?psc=1"
"2022-12-24","AXBXCX Touch Screen Full Finger Gloves for Motorcycles","","2,064 ratings","AXBXCX","B07XJMBTQ4","in Airsoft Protective Gear","","4.4 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","2,064 global ratings","https://www.amazon.sg/AXBXCX-Motorcycles-Cycling-Motorbike-Climbing/dp/B07XJMBTQ4/ref=zg_bs_automotive_sccl_19/356-6484440-7347308?psc=1"
"2022-12-24","Gear AID Tenacious Tape Gore-TEX Fabric Patches for Jacket Repair, Black, Round and Rectangle","","3,385 ratings","","B07WTRDKMP","","","4.5 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","3,385 global ratings","https://www.amazon.sg/Gear-Aid-Tenacious-GORE-TEX-Rectangle/dp/B07WTRDKMP/ref=zg_bs_automotive_sccl_20/356-6484440-7347308?psc=1"
"2022-12-24","AstroAI Air Compressor Tire Inflator Portable Air Pump for Car Tires 12V DC Auto Tire Pump with Digital Pressure Gauge, 100PSI with Emergency LED Light for Car, Bicycle, Balloons and Other Inflatables","","54,749 ratings","AstroAI","B07QR4Q42L","","","4.5 out of 5 stars","","54,749 global ratings","https://www.amazon.sg/AstroAI-Compressor-Inflator-Emergency-Inflatables/dp/B07QR4Q42L/ref=zg_bs_automotive_sccl_21/356-6484440-7347308?psc=1"
"2022-12-24","Performance Tool W941 8-Piece Specialty Pick/Driver Set","","1,303 ratings","","B0002KO4S2","","","4.4 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","1,303 global ratings","https://www.amazon.sg/Performance-W941-8-Piece-Specialty-Driver/dp/B0002KO4S2/ref=zg_bs_automotive_sccl_22/356-6484440-7347308?psc=1"
"2022-12-24","NGK 4272 BKR6EIX-11 Iridium IX Plug (Terminal: Ponte Clame) x 1 Spark Plug","S$16.01","63 ratings","日本特殊陶業(NGK)","B001KZIUE2","in Car Spark Plugs","Amazon Japan","4.4 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","63 global ratings","https://www.amazon.sg/NGK-4272-BKR6EIX-11-Iridium-Terminal/dp/B001KZIUE2/ref=zg_bs_automotive_sccl_23/356-6484440-7347308?psc=1"
"2022-12-24","CZC AUTO 2 Inch Trailer Hitch Cover Plug Cap Insert 2 Pack Receiver Tube Cover 2 Inch Black Receiver Hitch Cover for Toyota Mercedes Mopar Audi F150 Ford GMC Truck Chevy Jeep Lexus 4runner Porsche","","1,288 ratings","CZC AUTO","B07ZKJ8MM2","","","4.6 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","1,288 global ratings","https://www.amazon.sg/CZC-AUTO-Trailer-Receiver-Mercedes/dp/B07ZKJ8MM2/ref=zg_bs_automotive_sccl_24/356-6484440-7347308?psc=1"
"2022-12-24","OBDMONSTER Easy Intake Adapter, Automotive Smoke Machine Bladder, Block Tester, Inflatable Leak Plug, Evap Smoke Machine Leak Tester for 12V Vehicle","","249 ratings","","B07P9VNC3H","","","4.6 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","249 global ratings","https://www.amazon.sg/OBDMONSTER-Adapter-Automotive-Machine-Inflatable/dp/B07P9VNC3H/ref=zg_bs_automotive_sccl_25/356-6484440-7347308?psc=1"
"2022-12-24","EBC Brakes DP4002R Yellowstuff Street and Track Brake Pad ,Metallic","","","EBC Brakes","B003I8KAF6","","","","","","https://www.amazon.sg/EBC-Brakes-DP4002R-Yellowstuff-Metallic/dp/B003I8KAF6/ref=zg_bs_automotive_sccl_26/356-6484440-7347308?psc=1"
"2022-12-24","MANN (Man Filter) / Fuel Element Product Number: WK42/2 WK42/2","S$16.05","1,692 ratings","","B005NFXRA2","","Amazon Japan","4.4 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","1,692 global ratings","https://www.amazon.sg/MANN-Filter-Element-Product-Number/dp/B005NFXRA2/ref=zg_bs_automotive_sccl_27/356-6484440-7347308?psc=1"
"2022-12-24","TriNova Leatherette, Vinyl and Faux Leather Cleaner & Conditioner - Keep Seats, Jackets, Pleather, Handbags, Sofas, Couches, Shoes, Boots & More Looking New","","1,556 ratings","","B018R2DD42","","","4.4 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","1,556 global ratings","https://www.amazon.sg/TriNova-Leatherette-Leather-Cleaner-Conditioner/dp/B018R2DD42/ref=zg_bs_automotive_sccl_28/356-6484440-7347308?psc=1"
"2022-12-24","FH Group F11307BLACK-3ROW Climaproof™ for All Weather Protection Universal Fit Trim to Fit Black Automotive Floor Mats fits Most Cars, SUVs, and Trucks, 3 Row 4pc Full Set","","11,295 ratings","FH GROUP","B07XL4ZQ6P","","","","There are 0 reviews and 0 ratings from Singapore","11,296 global ratings","https://www.amazon.sg/FH-F11307BLACK-3ROW-ClimaproofTM-Protection-Automotive/dp/B07XL4ZQ6P/ref=zg_bs_automotive_sccl_29/356-6484440-7347308?psc=1"
"2022-12-24","Soft Faux Sheepskin Seat Belt Shoulder Pad for a More Comfortable Driving, Compatible with Adults Youth Kids - Car, Truck, SUV, Airplane,Carmera Backpack Straps 2 Packs Dark Gray","","5,057 ratings","","B00R2KGL9U","","","4.5 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","5,057 global ratings","https://www.amazon.sg/Sheepskin-Shoulder-Comfortable-Driving-Compatible/dp/B00R2KGL9U/ref=zg_bs_automotive_sccl_30/356-6484440-7347308?psc=1"
"2022-12-24","Meguiar's X2020 Supreme Shine Microfiber Towels (2 Packs of 3)","","16 ratings","Meguiar's","B0030MQQQW","","","","There are 0 reviews and 0 ratings from Singapore","16 global ratings","https://www.amazon.sg/Meguiars-X2020-Supreme-Microfiber-Towels/dp/B0030MQQQW/ref=zg_bs_automotive_sccl_81/356-6484440-7347308?psc=1"
"2022-12-24","Mr.Clean Microfibre Drying Towel, 828878603","","2 ratings","Mr Clean","B071YLM6MY","","","","","2 global ratings","https://www.amazon.sg/Mr-Clean-Microfibre-Drying-Towel-828878603/dp/B071YLM6MY/ref=zg_bs_automotive_sccl_82/356-6484440-7347308?psc=1"
"2022-12-24","1 Pcs Emblem Compatible with BMW Emblem 51148132375 Front/Hood/Trunk Tuning Badge Logo 82mm(Real Carbon Fiber)","","","OUFOYKFT","B0B6FD5BZC","in Car Emblems","","","","","https://www.amazon.sg/Emblem-Compatible-51148132375-Tuning-Carbon/dp/B0B6FD5BZC/ref=zg_bs_automotive_sccl_83/356-6484440-7347308?psc=1"
"2022-12-24","Antlers for Cars - Auto Christmas Decoration Nose - Automobile Holiday Christmas Accessories Ornament Kit Best for Car Van Truck Tabe-sg","","","","B0BPNJY6RG","in Automobile Decals, Magnets & Bumper Stickers","","","","","https://www.amazon.sg/Antlers-Cars-Decoration-Automobile-Accessories/dp/B0BPNJY6RG/ref=zg_bs_automotive_sccl_84/356-6484440-7347308?psc=1"
"2022-12-24","TANGSEN Smart Key Fob Case Black TPU Protective Cover Compatible with BMW 5 Series 528Li 530Li 540Li G30 G31 6 Series GT G11 G12 7 Series 740 X3 G01 i8 Keyless Entry Remote Control Accessories","","42 ratings","","B08SHV3PZQ","in Key Shells","","","There are 0 reviews and 0 ratings from Singapore","42 global ratings","https://www.amazon.sg/TANGSEN-Protective-Compatible-Keyless-Accessories/dp/B08SHV3PZQ/ref=zg_bs_automotive_sccl_85/356-6484440-7347308?psc=1"
"2022-12-24","Cardboard Gold Sleeves for PSA Graded Slabs Ultra Protection for The Pro Collector","","","","B08C4P5K5D","","","","","","https://www.amazon.sg/Cardboard-Gold-Sleeves-Protection-Collector/dp/B08C4P5K5D/ref=zg_bs_automotive_sccl_86/356-6484440-7347308?psc=1"
"2022-12-24","9 moon® Silicone Remote Flip Key FOB Silicone Case Cover for VW Volkswagen New","","3,116 ratings","","B00RK7FRIQ","","","4.5 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","3,116 global ratings","https://www.amazon.sg/moon%C2%AE-Silicone-Remote-Cover-Volkswagen/dp/B00RK7FRIQ/ref=zg_bs_automotive_sccl_87/356-6484440-7347308?psc=1"
"2022-12-24","Nite Ize NI-LSBM-01-2R3 Stainless Steel S-Biner MicroLock, Black (Pack of 2)","","10,230 ratings","Nite Ize","B00BKVPU08","","","4.5 out of 5 stars","There are 0 reviews and 2 ratings from Singapore","10,230 global ratings","https://www.amazon.sg/Nite-Ize-NI-LSBM-01-2R3-Stainless-MicroLock/dp/B00BKVPU08/ref=zg_bs_automotive_sccl_88/356-6484440-7347308?psc=1"
"2022-12-24","OGIO Replacement Wheel RIG 9800 PRO Black/Black","","3 ratings","","B08WRXMHYX","","","","There are 0 reviews and 0 ratings from Singapore","3 global ratings","https://www.amazon.sg/OGIO-Replacement-Wheel-9800-Black/dp/B08WRXMHYX/ref=zg_bs_automotive_sccl_89/356-6484440-7347308?psc=1"
"2022-12-24","AstroAI Electric Air Pump 150PSI Portable Bicycle Pump with 4500mAh Battery LED Light Air Compressor Tire Pump for Car, Bicycle, Motorcycle, Basketball, E-Scooter etc. As a Flashlight & Power Bank","","393 ratings","AstroAI","B09R9SZWS3","","","4.4 out of 5 stars","","393 global ratings","https://www.amazon.sg/AstroAI-Compressor-Motorcycle-Basketball-Flashlight/dp/B09R9SZWS3/ref=zg_bs_automotive_sccl_90/356-6484440-7347308?psc=1"
"2022-12-24","Car Steering Wheel Covers 38cm Universal Leather Cushion Cover Universal Classic Color Matching Handle Auto Accessories (Black and White)","","","","B0BH4C4B6M","in Car Steering Wheels, Parts & Accessories","","","","","https://www.amazon.sg/Steering-Universal-Leather-Matching-Accessories/dp/B0BH4FNRQF/ref=zg_bs_automotive_sccl_91/356-6484440-7347308?psc=1"
"2022-12-24","Kobayashi Shoshugen for Room/Toliet Freshener. One drop of consumption Nioi-moto sweet rose scent of 20mL","","","Shoshugen","B00EY20FOQ","","","","","","https://www.amazon.sg/Kobayashi-Shoshugen-Freshener-consumption-Nioi-moto/dp/B00EY20FOQ/ref=zg_bs_automotive_sccl_92/356-6484440-7347308?psc=1"
"2022-12-24","Xiaomi Mi 1S Portable Air Pump, Black, One Size","","6,466 ratings","Xiaomi","B09JZWJ2QY","","","4.7 out of 5 stars","","6,466 global ratings","https://www.amazon.sg/Xiaomi-Portable-Pump-Black-Size/dp/B09JZWJ2QY/ref=zg_bs_automotive_sccl_93/356-6484440-7347308?psc=1"
"2022-12-24","DAD Garson D.A.D Coaster Illumination (Square Type) Cigar Plug Set GARSON GE040-02","S$68.35","","","B088RMRKYK","","Amazon Japan","","","","https://www.amazon.sg/D-D-Coaster-Illumination-GE040-02/dp/B088RMRKYK/ref=zg_bs_automotive_sccl_94/356-6484440-7347308?psc=1"
"2022-12-24","Motorcycle Air Deflector for softail Fatboy Reflective Saddle Shields Air Heat Deflector Softail 2000-2016 Black","","46 ratings","HAPPY-MOTOR","B07D673WNS","","","","There are 0 reviews and 0 ratings from Singapore","46 global ratings","https://www.amazon.sg/Motorcycle-Deflector-softail-Reflective-2000-2016/dp/B07D673WNS/ref=zg_bs_automotive_sccl_95/356-6484440-7347308?psc=1"
"2022-12-24","Renuzit Gel Air Fresher, Citrus Orchard, 198 Grams","","97 ratings","Renuzit","B0001LOPXG","","","","There are 0 reviews and 0 ratings from Singapore","97 global ratings","https://www.amazon.sg/Renuzit-Fresher-Citrus-Orchard-Grams/dp/B0001LOPXG/ref=zg_bs_automotive_sccl_96/356-6484440-7347308?psc=1"
